"영상 번호","의문사있는 의문형","한국어 번역","형태소 개수","한국수어 형태소","","","","","","",""
"0528","","영수증을 주세요.","1","영수증","","","","","","",""
"0529","","영수증을 주세요.","1","영수증","","","","","","",""
"0530","","영수증을 주세요.","2","영수증","받다","","","","","",""
"0531","","영수증을 주세요.","2","영수증","받다","","","","","",""
"0532","","영수증을 주세요.","2","영수증","받다","","","","","",""
"0533","","영수증을 주세요.","2","영수증","받다","","","","","",""
"0534","","영수증을 주세요.","2","영수증","주세요","","","","","",""
"0535","","영수증을 주세요.","2","영수증","주세요","","","","","",""
"0536","","창문을 열어드릴까요?","2","유리","내리다","","","","","",""
"0537","","창문을 열어드릴까요?","3","차","유리","내리다","","","","",""
"0538","","창문을 열어드릴까요?","2","차","내리다","","","","","",""
"0539","","창문을 열어드릴까요?","2","유리","내리다","","","","","",""
"0540","","창문을 열어드릴까요?","1","내리다","","","","","","",""
"0541","","창문을 닫아드릴까요?","2","유리","올리다","","","","","",""
"0542","","창문을 닫아드릴까요?","3","차","유리","올리다","","","","",""
"0543","","창문을 닫아드릴까요?","2","차","올리다","","","","","",""
"0544","","창문을 닫아드릴까요?","2","유리","올리다","","","","","",""
"0545","","창문을 닫아드릴까요?","1","올리다","","","","","","",""
"0546","","(좌회전) 해드릴까요?","3","좌회전","확인","맞다","","","","",""
"0547","","(좌회전) 해드릴까요?","3","좌회전","확인","맞다","","","","",""
"0548","","(좌회전) 해드릴까요?","3","좌회전","확인","맞다","","","","",""
"0549","","(좌회전) 해드릴까요?","3","좌회전","확인","맞다","","","","",""
"0550","","(좌회전) 해드릴까요?","2","좌회전","맞다","","","","","",""
"0551","","(좌회전) 해드릴까요?","2","좌회전","맞다","","","","","",""
"0552","","(좌회전) 해드릴까요?","2","좌회전","맞다","","","","","",""
"0553","","(좌회전) 해드릴까요?","2","좌회전","맞다","","","","","",""
"0554","","(우회전) 해드릴까요?","3","우회전","확인","맞다","","","","",""
"0555","","(우회전) 해드릴까요?","3","우회전","확인","맞다","","","","",""
"0556","","(우회전) 해드릴까요?","3","우회전","확인","맞다","","","","",""
"0557","","(우회전) 해드릴까요?","3","우회전","확인","맞다","","","","",""
"0558","","(우회전) 해드릴까요?","2","우회전","맞다","","","","","",""
"0559","","(우회전) 해드릴까요?","2","우회전","맞다","","","","","",""
"0560","","(우회전) 해드릴까요?","2","우회전","맞다","","","","","",""
"0561","","(우회전) 해드릴까요?","2","우회전","맞다","","","","","",""
"0562","","(유턴) 해드릴까요?","2","유턴","맞다","","","","","",""
"0563","","(유턴) 해드릴까요?","2","유턴","맞다","","","","","",""
"0564","","(유턴) 해드릴까요?","2","유턴","맞다","","","","","",""
"0565","","(유턴) 해드릴까요?","2","유턴","맞다","","","","","",""
"0566","","(유턴) 해드릴까요?","2","유턴","맞다","","","","","",""
"0567","","(카드 결제) 되나요?","1","카드","","","","","","",""
"0568","","(카드 결제) 되나요?","2","카드","되다","","","","","",""
"0569","","(카드 결제) 되나요?","2","카드","가능","","","","","",""
"0570","","(카드 결제) 되나요?","1","카드","","","","","","",""
"0571","","(나사렛대학교)로 가주세요.","2","나사렛","가다","","","","","",""
"0572","","(나사렛대학교)로 가주세요.","2","나사렛","가다","","","","","",""
"0573","","(나사렛대학교)로 가주세요.","2","나사렛","내리다","","","","","",""
"0574","","(나사렛대학교)로 가주세요.","2","나사렛","내리다","","","","","",""
"0575","","(나사렛대학교)로 가주세요.","2","나사렛","차내리다","","","","","",""
"0576","","(나사렛대학교)로 가주세요.","2","나사렛","차내리다","","","","","",""
"0577","","(나사렛대학교)로 가주세요.","2","나사렛","도착","","","","","",""
"0578","","(나사렛대학교)로 가주세요.","2","나사렛","목적","","","","","",""
"0579","","(나사렛대학교)로 가주세요.","2","나사렛","곳","","","","","",""
"0580","","(나사렛대학교)로 가주세요.","2","나사렛","가다","","","","","",""
"0581","","(응급실)로 가주세요.","2","응급실","가다","","","","","",""
"0582","","(응급실)로 가주세요.","2","응급실","가다","","","","","",""
"0583","","(응급실)로 가주세요.","2","응급실","내리다","","","","","",""
"0584","","(응급실)로 가주세요.","2","응급실","내리다","","","","","",""
"0585","","(응급실)로 가주세요.","2","응급실","차내리다","","","","","",""
"0586","","(응급실)로 가주세요.","2","응급실","차내리다","","","","","",""
"0587","","(응급실)로 가주세요.","2","응급실","도착","","","","","",""
"0588","","(응급실)로 가주세요.","2","응급실","목적","","","","","",""
"0589","","(응급실)로 가주세요.","2","응급실","곳","","","","","",""
"0590","","(응급실)로 가주세요.","2","응급실","가다","","","","","",""
"0591","","(이 주소)로 가주세요.","2","손바닥찍다","가다","","","","","",""
"0592","","(이 주소)로 가주세요.","2","손바닥찍다","가다","","","","","",""
"0593","","(이 주소)로 가주세요.","2","손바닥찍다","내리다","","","","","",""
"0594","","(이 주소)로 가주세요.","2","손바닥찍다","내리다","","","","","",""
"0595","","(이 주소)로 가주세요.","2","손바닥찍다","차내리다","","","","","",""
"0596","","(이 주소)로 가주세요.","2","손바닥찍다","차내리다","","","","","",""
"0597","","(이 주소)로 가주세요.","2","손바닥찍다","도착","","","","","",""
"0598","","(이 주소)로 가주세요.","2","손바닥찍다","목적","","","","","",""
"0599","","(이 주소)로 가주세요.","2","손바닥찍다","곳","","","","","",""
"0600","","(이 주소)로 가주세요.","2","손바닥찍다","가다","","","","","",""
"0601","","(서울역)으로 가주세요.","3","서울역","내리다","가다","","","","",""
"0602","","(서울역)으로 가주세요.","3","서울역","내리다","가다","","","","",""
"0603","","(서울역)으로 가주세요.","3","서울역","차내리다","가다","","","","",""
"0604","","(서울역)으로 가주세요.","3","서울역","차내리다","가다","","","","",""
"0605","","(서울역)으로 가주세요.","3","서울역","도착","가다","","","","",""
"0606","","(서울역)으로 가주세요.","3","서울역","목적","가다","","","","",""
"0607","","(서울역)으로 가주세요.","3","서울역","곳","가다","","","","",""
"0608","","(서울역)으로 가주세요.","3","서울역","가다","내리다","","","","",""
"0609","","(서울역)으로 가주세요.","3","서울역","가다","내리다","","","","",""
"0610","","(서울역)으로 가주세요.","3","서울역","가다","차내리다","","","","",""
"0611","","(고속버스터미널)로 가주세요.","3","고속터미널","내리다","가다","","","","",""
"0612","","(고속버스터미널)로 가주세요.","3","고속터미널","내리다","가다","","","","",""
"0613","","(고속버스터미널)로 가주세요.","3","고속터미널","차내리다","가다","","","","",""
"0614","","(고속버스터미널)로 가주세요.","3","고속터미널","차내리다","가다","","","","",""
"0615","","(고속버스터미널)로 가주세요.","3","고속터미널","도착","가다","","","","",""
"0616","","(고속버스터미널)로 가주세요.","3","고속터미널","목적","가다","","","","",""
"0617","","(고속버스터미널)로 가주세요.","3","고속터미널","곳","가다","","","","",""
"0618","","(고속버스터미널)로 가주세요.","3","고속터미널","가다","내리다","","","","",""
"0619","","(고속버스터미널)로 가주세요.","3","고속터미널","가다","내리다","","","","",""
"0620","","(고속버스터미널)로 가주세요.","3","고속터미널","가다","차내리다","","","","",""
"0621","","(지름길)로 가주세요.","3","지름길","내리다","가다","","","","",""
"0622","","(지름길)로 가주세요.","3","지름길","내리다","가다","","","","",""
"0623","","(지름길)로 가주세요.","3","지름길","차내리다","가다","","","","",""
"0624","","(지름길)로 가주세요.","3","지름길","차내리다","가다","","","","",""
"0625","","(지름길)로 가주세요.","3","지름길","도착","가다","","","","",""
"0626","","(지름길)로 가주세요.","3","지름길","목적","가다","","","","",""
"0627","","(지름길)로 가주세요.","3","지름길","곳","가다","","","","",""
"0628","","(지름길)로 가주세요.","3","지름길","가다","내리다","","","","",""
"0629","","(지름길)로 가주세요.","3","지름길","가다","내리다","","","","",""
"0630","","(지름길)로 가주세요.","3","지름길","가다","차내리다","","","","",""
"0631","","(명동역)으로 갈까요?","2","명동","가다","","","","","",""
"0632","","(명동역)으로 갈까요?","2","명동","가다","","","","","",""
"0633","","(명동역)으로 갈까요?","2","명동","내리다","","","","","",""
"0634","","(명동역)으로 갈까요?","2","명동","내리다","","","","","",""
"0635","","(명동역)으로 갈까요?","2","명동","차내리다","","","","","",""
"0636","","(명동역)으로 갈까요?","2","명동","차내리다","","","","","",""
"0637","","(명동역)으로 갈까요?","2","명동","도착","","","","","",""
"0638","","(명동역)으로 갈까요?","2","명동","목적","","","","","",""
"0639","","(명동역)으로 갈까요?","2","명동","곳","","","","","",""
"0640","","(명동역)으로 갈까요?","2","명동","가다","","","","","",""
"0641","","(이 주소)로 갈까요?","3","손바닥찍다","내리다","가다","","","","",""
"0642","","(이 주소)로 갈까요?","3","손바닥찍다","내리다","가다","","","","",""
"0643","","(이 주소)로 갈까요?","3","손바닥찍다","차내리다","가다","","","","",""
"0644","","(이 주소)로 갈까요?","3","손바닥찍다","차내리다","가다","","","","",""
"0645","","(이 주소)로 갈까요?","3","손바닥찍다","도착","가다","","","","",""
"0646","","(이 주소)로 갈까요?","3","손바닥찍다","목적","가다","","","","",""
"0647","","(이 주소)로 갈까요?","3","손바닥찍다","곳","가다","","","","",""
"0648","","(이 주소)로 갈까요?","3","손바닥찍다","가다","내리다","","","","",""
"0649","","(이 주소)로 갈까요?","3","손바닥찍다","가다","내리다","","","","",""
"0650","","(이 주소)로 갈까요?","3","손바닥찍다","가다","차내리다","","","","",""
"0651","","(김포공항)으로 갈까요?","3","공항","내리다","가다","","","","",""
"0652","","(김포공항)으로 갈까요?","3","공항","내리다","가다","","","","",""
"0653","","(김포공항)으로 갈까요?","3","공항","차내리다","가다","","","","",""
"0654","","(김포공항)으로 갈까요?","3","공항","차내리다","가다","","","","",""
"0655","","(김포공항)으로 갈까요?","3","공항","도착","가다","","","","",""
"0656","","(김포공항)으로 갈까요?","3","공항","목적","가다","","","","",""
"0657","","(김포공항)으로 갈까요?","3","공항","곳","가다","","","","",""
"0658","","(김포공항)으로 갈까요?","3","공항","가다","내리다","","","","",""
"0659","","(김포공항)으로 갈까요?","3","공항","가다","내리다","","","","",""
"0660","","(김포공항)으로 갈까요?","3","공항","가다","차내리다","","","","",""
"0661","","(지름길)로 갈까요?","3","지름길","내리다","가다","","","","",""
"0662","","(지름길)로 갈까요?","3","지름길","내리다","가다","","","","",""
"0663","","(지름길)로 갈까요?","3","지름길","차내리다","가다","","","","",""
"0664","","(지름길)로 갈까요?","3","지름길","차내리다","가다","","","","",""
"0665","","(지름길)로 갈까요?","3","지름길","도착","가다","","","","",""
"0666","","(지름길)로 갈까요?","3","지름길","목적","가다","","","","",""
"0667","","(지름길)로 갈까요?","3","지름길","곳","가다","","","","",""
"0668","","(지름길)로 갈까요?","3","지름길","가다","내리다","","","","",""
"0669","","(지름길)로 갈까요?","3","지름길","가다","내리다","","","","",""
"0670","","(지름길)로 갈까요?","3","지름길","가다","차내리다","","","","",""
"0671","","(나사렛대학교)로 갈까요?","3","나사렛","내리다","가다","","","","",""
"0672","","(나사렛대학교)로 갈까요?","3","나사렛","내리다","가다","","","","",""
"0673","","(나사렛대학교)로 갈까요?","3","나사렛","차내리다","가다","","","","",""
"0674","","(나사렛대학교)로 갈까요?","3","나사렛","차내리다","가다","","","","",""
"0675","","(나사렛대학교)로 갈까요?","3","나사렛","도착","가다","","","","",""
"0676","","(학교 안)으로 들어가주세요.","3","학교","안","도착","","","","",""
"0677","","(나사렛대학교)로 갈까요?","3","나사렛","목적","가다","","","","",""
"0678","","(나사렛대학교)로 갈까요?","3","나사렛","곳","가다","","","","",""
"0679","","(나사렛대학교)로 갈까요?","3","나사렛","가다","내리다","","","","",""
"0680","","(나사렛대학교)로 갈까요?","3","나사렛","가다","내리다","","","","",""
"0681","","(골목)으로 들어가주세요.","2","샛길","가다","","","","","",""
"0682","","(골목)으로 들어가주세요.","2","샛길","저기","","","","","",""
"0683","","(골목)으로 들어가주세요.","3","샛길","저기","가다","","","","",""
"0684","","(골목)으로 들어가주세요.","3","샛길","저기","곳","","","","",""
"0685","","(골목)으로 들어가주세요.","2","샛길","곳","","","","","",""
"0686","","(골목)으로 들어가주세요.","2","샛길","도착","","","","","",""
"0687","","(골목)으로 들어가주세요.","2","샛길","가다","","","","","",""
"0688","","(골목)으로 들어가주세요.","2","샛길","가다","","","","","",""
"0689","","(골목)으로 들어가주세요.","3","저기","샛길","가다","","","","",""
"0690","","(골목)으로 들어가주세요.","3","샛길","문","가다","","","","",""
"0691","","(아파트 단지 안)으로 가주세요.","2","아파트","가다","","","","","",""
"0692","","(아파트 단지 안)으로 가주세요.","2","아파트","저기","","","","","",""
"0693","","(아파트 단지 안)으로 가주세요.","3","아파트","저기","가다","","","","",""
"0694","","(아파트 단지 안)으로 가주세요.","3","아파트","저기","곳","","","","",""
"0695","","(아파트 단지 안)으로 가주세요.","3","아파트","안","곳","","","","",""
"0696","","(아파트 단지 안)으로 가주세요.","3","아파트","안","도착","","","","",""
"0697","","(아파트 단지 안)으로 가주세요.","3","아파트","안","가다","","","","",""
"0698","","(아파트 단지 안)으로 가주세요.","2","아파트","가다","","","","","",""
"0699","","(아파트 단지 안)으로 가주세요.","3","저기","아파트","가다","","","","",""
"0700","","(아파트 단지 안)으로 가주세요.","3","아파트","문","가다","","","","",""
"0701","","(학교 안)으로 들어갈까요?","2","학교","저기","","","","","",""
"0702","","(학교 안)으로 들어갈까요?","3","학교","저기","가다","","","","",""
"0703","","(학교 안)으로 들어갈까요?","3","학교","저기","곳","","","","",""
"0704","","(학교 안)으로 들어갈까요?","3","학교","안","곳","","","","",""
"0705","","(학교 안)으로 들어갈까요?","3","학교","안","도착","","","","",""
"0706","","(학교 안)으로 들어갈까요?","3","학교","안","가다","","","","",""
"0707","","(골목)으로 들어갈까요?","2","샛길","저기","","","","","",""
"0708","","(골목)으로 들어갈까요?","3","샛길","저기","가다","","","","",""
"0709","","(골목)으로 들어갈까요?","3","샛길","저기","곳","","","","",""
"0710","","(골목)으로 들어갈까요?","2","샛길","곳","","","","","",""
"0711","","(골목)으로 들어갈까요?","2","샛길","도착","","","","","",""
"0712","","(골목)으로 들어갈까요?","3","샛길","여기","가다","","","","",""
"0713","","(아파트 단지 안)으로 들어갈까요?","2","아파트","저기","","","","","",""
"0714","","(아파트 단지 안)으로 들어갈까요?","3","아파트","저기","가다","","","","",""
"0715","","(아파트 단지 안)으로 들어갈까요?","3","아파트","저기","곳","","","","",""
"0716","","(아파트 단지 안)으로 들어갈까요?","3","아파트","안","곳","","","","",""
"0717","","(아파트 단지 안)으로 들어갈까요?","3","아파트","안","도착","","","","",""
"0718","","(아파트 단지 안)으로 들어갈까요?","3","아파트","안","가다","","","","",""
"0719","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","내리다","","","","",""
"0720","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","내리다","","","","",""
"0721","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","차내리다","","","","",""
"0722","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","차내리다","","","","",""
"0723","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","곳","","","","",""
"0724","","(나사렛대학교) 못가서 내려주세요.","4","나사렛","전","도착","내리다","","","",""
"0725","","(나사렛대학교) 못가서 내려주세요.","4","나사렛","전","도착","내리다","","","",""
"0726","","(나사렛대학교) 못가서 내려주세요.","4","나사렛","전","도착","차내리다","","","",""
"0727","","(나사렛대학교) 못가서 내려주세요.","4","나사렛","전","도착","차내리다","","","",""
"0728","","(나사렛대학교) 못가서 내려주세요.","3","나사렛","전","저기","","","","",""
"0729","","(저기서) 내려주세요.","2","저기","맞다","","","","","",""
"0730","","(저기서) 내려주세요.","2","저기","맞다","","","","","",""
"0731","","(저기서) 내려주세요.","3","저기","내리다","맞다","","","","",""
"0732","","(저기서) 내려주세요.","3","저기","내리다","맞다","","","","",""
"0733","","(저기서) 내려주세요.","3","저기","차내리다","맞다","","","","",""
"0734","","(저기서) 내려주세요.","3","저기","차내리다","맞다","","","","",""
"0735","","(저기서) 내려주세요.","3","저기","내리다","맞다","","","","",""
"0736","","(저기서) 내려주세요.","3","저기","내리다","맞다","","","","",""
"0737","","(저기서) 내려주세요.","3","저기","차내리다","맞다","","","","",""
"0738","","(저기서) 내려주세요.","3","저기","차내리다","맞다","","","","",""
"0739","","(기차역)에서 내려주세요.","3","기차","곳","맞다","","","","",""
"0740","","(기차역)에서 내려주세요.","3","기차","곳","맞다","","","","",""
"0741","","(기차역)에서 내려주세요.","4","기차","곳","내리다","맞다","","","",""
"0742","","(기차역)에서 내려주세요.","4","기차","곳","내리다","맞다","","","",""
"0743","","(기차역)에서 내려주세요.","4","기차","곳","차내리다","맞다","","","",""
"0744","","(기차역)에서 내려주세요.","4","기차","곳","차내리다","맞다","","","",""
"0745","","(기차역)에서 내려주세요.","4","기차","곳","내리다","맞다","","","",""
"0746","","(기차역)에서 내려주세요.","4","기차","곳","내리다","맞다","","","",""
"0747","","(기차역)에서 내려주세요.","4","기차","곳","차내리다","맞다","","","",""
"0748","","(기차역)에서 내려주세요.","4","기차","곳","차내리다","맞다","","","",""
"0749","","(버스정류장)에서 내려주세요.","3","버스","곳","맞다","","","","",""
"0750","","(버스정류장)에서 내려주세요.","3","버스","곳","맞다","","","","",""
"0751","","(버스정류장)에서 내려주세요.","4","버스","곳","내리다","맞다","","","",""
"0752","","(버스정류장)에서 내려주세요.","4","버스","곳","내리다","맞다","","","",""
"0753","","(버스정류장)에서 내려주세요.","4","버스","곳","차내리다","맞다","","","",""
"0754","","(버스정류장)에서 내려주세요.","4","버스","곳","차내리다","맞다","","","",""
"0755","","(버스정류장)에서 내려주세요.","4","버스","곳","내리다","맞다","","","",""
"0756","","(버스정류장)에서 내려주세요.","4","버스","곳","내리다","맞다","","","",""
"0757","","(버스정류장)에서 내려주세요.","4","버스","곳","차내리다","맞다","","","",""
"0758","","(버스정류장)에서 내려주세요.","4","버스","곳","차내리다","맞다","","","",""
"0759","","(건너편)에서 내려주세요.","1","건너다","","","","","","",""
"0760","","(건너편)에서 내려주세요.","2","건너다","내리다","","","","","",""
"0761","","(건너편)에서 내려주세요.","2","건너다","내리다","","","","","",""
"0762","","(건너편)에서 내려주세요.","2","건너다","차내리다","","","","","",""
"0763","","(건너편)에서 내려주세요.","2","건너다","차내리다","","","","","",""
"0764","","(건너편)에서 내려주세요.","2","건너다","오케이","","","","","",""
"0765","","(건너편)에서 내려주세요.","2","건너다","차두다","","","","","",""
"0766","","(건너편)에서 내려주세요.","3","건너다","내리다","오케이","","","","",""
"0767","","(건너편)에서 내려주세요.","3","건너다","내리다","오케이","","","","",""
"0768","","(건너편)에서 내려주세요.","3","건너다","차내리다","오케이","","","","",""
"0769","","(건너편)에서 내려주세요.","3","건너다","차내리다","오케이","","","","",""
"0770","","(시청)으로 가주세요.","1","시청","","","","","","",""
"0771","","(시청)으로 가주세요.","2","시청","내리다","","","","","",""
"0772","","(시청)으로 가주세요.","2","시청","내리다","","","","","",""
"0773","","(시청)으로 가주세요.","2","시청","차내리다","","","","","",""
"0774","","(시청)으로 가주세요.","2","시청","차내리다","","","","","",""
"0775","","(시청)으로 가주세요.","2","시청","오케이","","","","","",""
"0776","","(시청)으로 가주세요.","2","시청","차두다","","","","","",""
"0777","","(시청)으로 가주세요.","3","시청","내리다","오케이","","","","",""
"0778","","(시청)으로 가주세요.","3","시청","내리다","오케이","","","","",""
"0779","","(시청)으로 가주세요.","3","시청","차내리다","오케이","","","","",""
"0780","","(시청)으로 가주세요.","3","시청","차내리다","오케이","","","","",""
"0781","","(여기서) 내려드릴까요?","2","여기","맞다","","","","","",""
"0782","","(여기서) 내려드릴까요?","2","여기","맞다","","","","","",""
"0783","","(여기서) 내려드릴까요?","3","여기","내리다","맞다","","","","",""
"0784","","(여기서) 내려드릴까요?","3","여기","내리다","맞다","","","","",""
"0785","","(여기서) 내려드릴까요?","3","여기","차내리다","맞다","","","","",""
"0786","","(여기서) 내려드릴까요?","3","여기","차내리다","맞다","","","","",""
"0787","","(여기서) 내려드릴까요?","3","여기","내리다","맞다","","","","",""
"0788","","(여기서) 내려드릴까요?","3","여기","내리다","맞다","","","","",""
"0789","","(여기서) 내려드릴까요?","3","여기","차내리다","맞다","","","","",""
"0790","","(여기서) 내려드릴까요?","3","여기","차내리다","맞다","","","","",""
"0791","","(지금) 내려드릴까요?","2","지금","맞다","","","","","",""
"0792","","(지금) 내려드릴까요?","2","지금","맞다","","","","","",""
"0793","","(지금) 내려드릴까요?","3","지금","내리다","맞다","","","","",""
"0794","","(지금) 내려드릴까요?","3","지금","내리다","맞다","","","","",""
"0795","","(지금) 내려드릴까요?","3","지금","차내리다","맞다","","","","",""
"0796","","(지금) 내려드릴까요?","3","지금","차내리다","맞다","","","","",""
"0797","","(지금) 내려드릴까요?","3","지금","내리다","맞다","","","","",""
"0798","","(지금) 내려드릴까요?","3","지금","내리다","맞다","","","","",""
"0799","","(지금) 내려드릴까요?","3","지금","차내리다","맞다","","","","",""
"0800","","(지금) 내려드릴까요?","3","지금","차내리다","맞다","","","","",""
"0801","","(기차역)에서 내려드릴까요?","3","기차","곳","맞다","","","","",""
"0802","","(기차역)에서 내려드릴까요?","3","기차","곳","맞다","","","","",""
"0803","","(기차역)에서 내려드릴까요?","4","기차","곳","내리다","맞다","","","",""
"0804","","(기차역)에서 내려드릴까요?","4","기차","곳","내리다","맞다","","","",""
"0805","","(기차역)에서 내려드릴까요?","4","기차","곳","차내리다","맞다","","","",""
"0806","","(기차역)에서 내려드릴까요?","4","기차","곳","차내리다","맞다","","","",""
"0807","","(기차역)에서 내려드릴까요?","4","기차","곳","내리다","맞다","","","",""
"0808","","(기차역)에서 내려드릴까요?","4","기차","곳","내리다","맞다","","","",""
"0809","","(기차역)에서 내려드릴까요?","4","기차","곳","차내리다","맞다","","","",""
"0810","","(기차역)에서 내려드릴까요?","4","기차","곳","차내리다","맞다","","","",""
"0811","","(버스정류장)에서 내려드릴까요?","3","버스","곳","맞다","","","","",""
"0812","","(버스정류장)에서 내려드릴까요?","3","버스","곳","맞다","","","","",""
"0813","","(버스정류장)에서 내려드릴까요?","4","버스","곳","내리다","맞다","","","",""
"0814","","(버스정류장)에서 내려드릴까요?","4","버스","곳","내리다","맞다","","","",""
"0815","","(버스정류장)에서 내려드릴까요?","4","버스","곳","차내리다","맞다","","","",""
"0816","","(버스정류장)에서 내려드릴까요?","4","버스","곳","차내리다","맞다","","","",""
"0817","","(버스정류장)에서 내려드릴까요?","4","버스","곳","내리다","맞다","","","",""
"0818","","(버스정류장)에서 내려드릴까요?","4","버스","곳","내리다","맞다","","","",""
"0819","","(버스정류장)에서 내려드릴까요?","4","버스","곳","차내리다","맞다","","","",""
"0820","","(버스정류장)에서 내려드릴까요?","4","버스","곳","차내리다","맞다","","","",""
"0821","","(건너편)에서 내려드릴까요?","1","건너다","","","","","","",""
"0822","","(건너편)에서 내려드릴까요?","2","건너다","내리다","","","","","",""
"0823","","(건너편)에서 내려드릴까요?","2","건너다","내리다","","","","","",""
"0824","","(건너편)에서 내려드릴까요?","2","건너다","차내리다","","","","","",""
"0825","","(건너편)에서 내려드릴까요?","2","건너다","차내리다","","","","","",""
"0826","","(건너편)에서 내려드릴까요?","2","건너다","오케이","","","","","",""
"0827","","(건너편)에서 내려드릴까요?","2","건너다","차두다","","","","","",""
"0828","","(건너편)에서 내려드릴까요?","3","건너다","내리다","오케이","","","","",""
"0829","","(건너편)에서 내려드릴까요?","3","건너다","내리다","오케이","","","","",""
"0830","","(건너편)에서 내려드릴까요?","3","건너다","차내리다","오케이","","","","",""
"0831","","(건너편)에서 내려드릴까요?","3","건너다","차내리다","오케이","","","","",""
"0832","X","(시청)에서 내려드릴까요?","1","시청","","","","","","",""
"0833","","(시청)에서 내려드릴까요?","2","시청","내리다","","","","","",""
"0834","","(시청)에서 내려드릴까요?","2","시청","내리다","","","","","",""
"0835","","(시청)에서 내려드릴까요?","2","시청","차내리다","","","","","",""
"0836","","(시청)에서 내려드릴까요?","2","시청","차내리다","","","","","",""
"0837","","(시청)에서 내려드릴까요?","2","시청","오케이","","","","","",""
"0838","","(시청)에서 내려드릴까요?","2","시청","차두다","","","","","",""
"0839","","(시청)에서 내려드릴까요?","3","시청","내리다","오케이","","","","",""
"0840","","(시청)에서 내려드릴까요?","3","시청","내리다","오케이","","","","",""
"0841","","(시청)에서 내려드릴까요?","3","시청","차내리다","오케이","","","","",""
"0842","","(시청)에서 내려드릴까요?","3","시청","차내리다","오케이","","","","",""
"0843","X","(나사렛대학교)에서 내려드릴까요?","1","나사렛","","","","","","",""
"0844","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","내리다","","","","","",""
"0845","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","내리다","","","","","",""
"0846","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","차내리다","","","","","",""
"0847","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","차내리다","","","","","",""
"0848","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","오케이","","","","","",""
"0849","","(나사렛대학교)에서 내려드릴까요?","2","나사렛","가다","","","","","",""
"0850","","(나사렛대학교)에서 내려드릴까요?","3","나사렛","내리다","오케이","","","","",""
"0851","","(나사렛대학교)에서 내려드릴까요?","3","나사렛","내리다","오케이","","","","",""
"0852","","(나사렛대학교)에서 내려드릴까요?","3","나사렛","차내리다","오케이","","","","",""
"0853","","(나사렛대학교)에서 내려드릴까요?","3","나사렛","차내리다","오케이","","","","",""
"0854","","트렁크 좀 열어주세요.","3","차","뒤","트렁크열다","","","","",""
"0855","","트렁크 좀 열어주세요.","3","차","엉덩이","트렁크열다","","","","",""
"0856","","트렁크 좀 열어주세요.","3","차","뒤","들어올리다","","","","",""
"0857","","트렁크 좀 열어주세요.","4","차","뒤","엉덩이","들어올리다","","","",""
"0858","","트렁크 좀 열어드릴까요?","2","차","트렁크열다","","","","","",""
"0859","","트렁크 좀 열어드릴까요?","3","차","뒤","트렁크열다","","","","",""
"0860","","트렁크 좀 열어드릴까요?","3","차","엉덩이","트렁크열다","","","","",""
"0861","","트렁크 좀 열어드릴까요?","3","차","뒤","들어올리다","","","","",""
"0862","","트렁크 좀 열어드릴까요?","4","차","뒤","엉덩이","들어올리다","","","",""
"0863","X","(한국농아인협회)에서 내려드릴까요?","1","한국농아인협회","","","","","","",""
"0864","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","내리다","","","","","",""
"0865","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","내리다","","","","","",""
"0866","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","차내리다","","","","","",""
"0867","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","차내리다","","","","","",""
"0868","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","오케이","","","","","",""
"0869","","(한국농아인협회)에서 내려드릴까요?","2","한국농아인협회","가다","","","","","",""
"0870","","(한국농아인협회)에서 내려드릴까요?","3","한국농아인협회","내리다","오케이","","","","",""
"0871","","(한국농아인협회)에서 내려드릴까요?","3","한국농아인협회","내리다","오케이","","","","",""
"0872","","(한국농아인협회)에서 내려드릴까요?","3","한국농아인협회","차내리다","오케이","","","","",""
"0873","X","(서울농아인협회)에서 내려드릴까요?","1","서울농아인협회","","","","","","",""
"0874","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","내리다","","","","","",""
"0875","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","내리다","","","","","",""
"0876","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","차내리다","","","","","",""
"0877","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","차내리다","","","","","",""
"0878","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","오케이","","","","","",""
"0879","","(서울농아인협회)에서 내려드릴까요?","2","서울농아인협회","가다","","","","","",""
